Filename	Rank	TaxonName	Origin	Provider	SizePix	ImageDate	OrgFilename	Comment
"Aconitum napellus_2 (1023).JPG"	"2"	"Aconitum napellus"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-15"	"Aconitumnapellus_B1131_NRoques_15072008.JPG"	""
"Aconitum napellus_2 (1024).JPG"	"2"	"Aconitum napellus"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-15"	"Aconitumnapellus2_B1131_NRoques_15072008.JPG"	""
"Agrimonia eupatoria_2 (752).JPG"	"2"	"Agrimonia eupatoria"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Agrimoniaeupatoria_922086_NRoques_14072008B.JPG"	""
"Agrimonia eupatoria_2 (753).JPG"	"2"	"Agrimonia eupatoria"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-15"	"Agrimoniaeupatoria_922086_NRoques_14072008A.JPG"	""
"Agrimonia eupatoria_2 (1048).JPG"	"2"	"Agrimonia eupatoria"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-15"	"Agrimoniaeupatoria_20051829_NRoques_15072008B.JPG"	""
"Agrimonia eupatoria_2 (1049).JPG"	"2"	"Agrimonia eupatoria"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-15"	"Agrimoniaeupatoria_20051829_NRoques_15072008A.JPG"	""
"Agrimonia eupatoria_2 (1050).JPG"	"2"	"Agrimonia eupatoria"	"Hortus Botanicus Amsterdam"	"Verbeek, Y.E. (Yolente)"	"5038848"	""	"Agrimonia eupatoria 20051829 YV 20090810.JPG"	""
"Alcea rosea_2 (1170).JPG"	"2"	"Alcea rosea"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"ALcearosea_20071117_NRoques_14072008B.JPG"	""
"Alcea rosea_2 (1171).JPG"	"2"	"Alcea rosea"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"ALcearosea_20071117_NRoques_14072008A.JPG"	""
"Althaea officinalis_2 (748).JPG"	"2"	"Althaea officinalis"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-15"	"Althaeaofficinalis_B1189_NRoques_15072008A.JPG"	""
"Althaea officinalis_2 (749).JPG"	"2"	"Althaea officinalis"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Althaeaofficinalis_B1189_NRoques_14072008B.JPG"	""
"Althaea officinalis_2 (750).JPG"	"2"	"Althaea officinalis"	"Hortus Botanicus Amsterdam"	"Verbeek, Y.E. (Yolente)"	"5038848"	""	"Althaea officinalis B1189 YV 20090803 a.JPG"	"Number:a"
"Althaea officinalis_2 (751).JPG"	"2"	"Althaea officinalis"	"Hortus Botanicus Amsterdam"	"Verbeek, Y.E. (Yolente)"	"5038848"	""	"Althaea officinalis B1189 YV 20090803 b.JPG"	"Number:b"
"Althaea officinalis_2 (854).JPG"	"2"	"Althaea officinalis"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-15"	"Althaeaofficinalis_20061932_NRoques_15072008B.JPG"	""
"Althaea officinalis_2 (855).JPG"	"2"	"Althaea officinalis"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-15"	"Althaeaofficinalis_20061932_NRoques_15072008A.JPG"	""
"Anthemis tinctoria_2 (623).JPG"	"2"	"Anthemis tinctoria"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Anthemistinctoria_20051873_NRoques_14072008.JPG"	""
"Apium graveolens_2 (1342).JPG"	"2"	"Apium graveolens"	"Hortus Botanicus Amsterdam"	"Verbeek, Y.E. (Yolente)"	"5038848"	""	"Apium graveolens 20070110 YV 20090810 a.JPG"	"Number:a"
"Apium graveolens_2 (1343).JPG"	"2"	"Apium graveolens"	"Hortus Botanicus Amsterdam"	"Verbeek, Y.E. (Yolente)"	"5038848"	""	"Apium graveolens 20070110 YV 20090810 b.JPG"	"Number:b"
"Apium graveolens_2 (1344).JPG"	"2"	"Apium graveolens"	"Hortus Botanicus Amsterdam"	"Verbeek, Y.E. (Yolente)"	"5038848"	""	"Apium graveolens 20070110 YV 20090810 c.JPG"	"Number:c"
"Artemisia absinthium_2 (797).JPG"	"2"	"Artemisia absinthium"	"Hortus Botanicus Amsterdam"	"Verbeek, Y.E. (Yolente)"	"5038848"	""	"Artemisia absinthium 20051106 YV 20090810 a.JPG"	"Number:a"
"Artemisia absinthium_2 (798).JPG"	"2"	"Artemisia absinthium"	"Hortus Botanicus Amsterdam"	"Verbeek, Y.E. (Yolente)"	"5038848"	""	"Artemisia absinthium 20051106 YV 20090810 b.JPG"	"Number:b"
"Arum italicum_2 (866).JPG"	"2"	"Arum italicum"	"Hortus Botanicus Amsterdam"	"Havinga, R.M. (Reinout)"	"5038848"	""	"Arum italicum B5077 RHavinga 20091029 001.JPG"	""
"Arum italicum_2 (867).JPG"	"2"	"Arum italicum"	"Hortus Botanicus Amsterdam"	"Havinga, R.M. (Reinout)"	"5038848"	""	"Arum italicum B5077 RHavinga 20091029 002.JPG"	""
"Atropa bella-donna_2 (843).JPG"	"2"	"Atropa bella-donna"	"Hortus Botanicus Amsterdam"	"Verbeek, Y.E. (Yolente)"	"5038848"	""	"Atropa bella-donna 20061515 YV 20090803a.JPG"	"Number:a"
"Atropa bella-donna_2 (844).JPG"	"2"	"Atropa bella-donna"	"Hortus Botanicus Amsterdam"	"Verbeek, Y.E. (Yolente)"	"4233560"	""	"Atropa bella-donna 20061515 YV 20090803 b vruchten.JPG"	"Number:b"
"Atropa bella-donna_2 (845).JPG"	"2"	"Atropa bella-donna"	"Hortus Botanicus Amsterdam"	"Verbeek, Y.E. (Yolente)"	"4187056"	""	"Atropa bella-donna 20061515 YV 20090803 c vruchten.JPG"	"Number:c"
"Briza media_1 (2235).jpg"	"1"	"Briza media"	""	"Hill, E (Elaine)"	"998784"	"2014-05-24"	"Briza media 992459 EHill 20142405 01.jpg"	""
"Briza media_2 (2236).jpg"	"2"	"Briza media"	""	"Hill, E (Elaine)"	"998784"	"2014-05-24"	"Briza media 992459 EHill 20142405 02.jpg"	""
"Briza media_3 (2237).jpg"	"3"	"Briza media"	""	"Hill, E (Elaine)"	"998784"	"2014-05-24"	"Briza media 992459 EHill 20142405 03.jpg"	""
"Buxus sempervirens_1 (2050).jpg"	"1"	"Buxus sempervirens"	""	"Hill, E (Elaine)"	"998784"	"2014-03-16"	"Buxus sempervirens B5192 EHill 20141603 01.jpg"	""
"Buxus sempervirens_2 (2052).jpg"	"2"	"Buxus sempervirens"	""	"Hill, E (Elaine)"	"998784"	"2014-03-16"	"Buxus sempervirens B5192 EHill 20141603 03.jpg"	""
"Buxus sempervirens_3 (2051).jpg"	"3"	"Buxus sempervirens"	""	"Hill, E (Elaine)"	"998784"	"2014-03-16"	"Buxus sempervirens B5192 EHill 20141603 02.jpg"	""
"Buxus sempervirens_4 (2054).jpg"	"4"	"Buxus sempervirens"	""	"Hill, E (Elaine)"	"998784"	"2014-03-16"	"Buxus sempervirens B5192 EHill 20141603 05.jpg"	""
